iter	Logloss
0	0.6930249212
1	0.6929285394
2	0.6928398947
3	0.6927162143
4	0.6926354908
5	0.6925398007
6	0.6924092643
7	0.6923006545
8	0.692222758
9	0.6921323988
10	0.6920269606
11	0.6919316192
12	0.6918219271
13	0.6917343363
14	0.6916544628
15	0.6915414606
16	0.6914673891
17	0.6913629197
18	0.6912721944
19	0.6911886368
20	0.6910657258
21	0.6909817913
22	0.6908873216
23	0.690809451
24	0.6907184466
25	0.6906124036
26	0.690516206
27	0.6904305529
28	0.6903763029
29	0.6902815492
30	0.69016147
31	0.6900848533
32	0.6900070715
33	0.6899023759
34	0.689803404
35	0.6897258716
36	0.6896350906
37	0.6895668785
38	0.6894858754
39	0.6893796216
40	0.6892831196
41	0.6891798157
42	0.6890583864
43	0.6889562848
44	0.688854356
45	0.6887737257
46	0.6887041765
47	0.6886271074
48	0.6885274124
49	0.6884217074
50	0.6883485653
51	0.6882784927
52	0.6881825119
53	0.6881087697
54	0.6880571468
55	0.6879859955
56	0.6879311432
57	0.6878386707
58	0.6877376321
59	0.6876329164
60	0.6875411604
61	0.687460308
62	0.6873679277
63	0.6873008276
64	0.6872301184
65	0.687172971
66	0.6870812825
67	0.6870072917
68	0.6869301233
69	0.6868758902
70	0.686769925
71	0.6866930859
72	0.6866424315
73	0.6865906269
74	0.6865066751
75	0.6864652948
76	0.6863617273
77	0.6862799728
78	0.6862254855
79	0.6861655084
80	0.6860869023
81	0.6860204981
82	0.6859594175
83	0.6858979139
84	0.6858422831
85	0.6857594105
86	0.6856821781
87	0.6856227143
88	0.6855228031
89	0.6854583955
90	0.6853614889
91	0.6852658083
92	0.6852075444
93	0.685126605
94	0.6850411883
95	0.684978711
96	0.6849251939
97	0.6848561728
98	0.6847878544
99	0.684738377
