iter	Passed	Remaining
0	4	416
1	8	398
2	11	382
3	16	400
4	20	388
5	24	379
6	28	383
7	32	377
8	36	369
9	40	362
10	44	360
11	48	354
12	52	350
13	57	355
14	61	348
15	65	343
16	70	345
17	74	340
18	78	335
19	83	333
20	87	328
21	91	323
22	96	324
23	100	319
24	104	313
25	109	312
26	113	307
27	117	302
28	122	300
29	126	295
30	130	290
31	135	288
32	139	284
33	143	279
34	149	277
35	153	272
36	157	267
37	163	266
38	167	261
39	171	256
40	175	253
41	179	248
42	184	244
43	188	240
44	192	235
45	196	230
46	201	227
47	205	222
48	209	217
49	214	214
50	218	210
51	222	205
52	227	202
53	231	197
54	235	192
55	241	189
56	245	185
57	250	181
58	256	178
59	260	173
60	266	170
61	270	166
62	275	161
63	280	157
64	285	153
65	289	148
66	294	145
67	298	140
68	303	136
69	309	132
70	313	128
71	318	123
72	324	119
73	328	115
74	334	111
75	338	107
76	343	102
77	348	98
78	352	93
79	357	89
80	361	84
81	366	80
82	370	75
83	375	71
84	379	66
85	383	62
86	388	58
87	392	53
88	397	49
89	401	44
90	405	40
91	411	35
92	415	31
93	420	26
94	425	22
95	430	17
96	434	13
97	439	8
98	444	4
99	448	0
